"REGIAO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"N",0.093032725930317,0.080132822127084,0.0888619269064232,0.114792563231611,0.140782353961021,0.110792240731327,0.0970385164104213
"NE",0.092106112382635,0.0507208401645244,0.0867455512696812,0.065677107021987,0.0993031616004074,0.160281930449299,0.0801120167298411
"CO",0.0699208981598537,0.0352504516642195,0.0743905908799924,0.0676726107008767,0.0605459695233231,0.102704173582026,0.0577857200441927
"SE",0.0676532024008101,0.0411150113569829,0.0807732224487492,0.0487911755614757,0.0584225841967357,0.0549251118012136,0.0357060885812193
"S",0.032732448187173,0.0176880388026192,0.0490697367029383,0.034833880222863,0.0408936513310261,0.0529900880292552,0.0321038139769364
