"REGIAO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"N",0.093032725930317,0.119762963454508,0.134313665632015,0.162545085863204,0.155091320445325,0.151909023512546,0.14472441178152
"NE",0.092106112382635,0.0773619017394208,0.0991434031164528,0.12295626215874,0.123953493015394,0.166304869956998,0.117943985997401
"CO",0.0699208981598537,0.0583248549862726,0.0866710178597379,0.0913686848266811,0.0707146125201955,0.108213750410899,0.0830585841207573
"SE",0.0676532024008101,0.0785955424022168,0.0941268919792876,0.0783000082956375,0.0852264472703061,0.0896309391974285,0.0851759658289753
"S",0.032732448187173,0.0388820133624122,0.0589761732445432,0.062106254541744,0.048367969881579,0.0607698905454581,0.0538204603151473
