"TIPO_MODELO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"benchmarking",0.097806826724567,0.0696785283048678,0.0957687049605311,0.0904049700667553,0.122818819447336,0.129373209324505,0.0877513190871854
"univariado",0.0712461809247173,0.0481400211119454,0.0751976238517368,0.0609911313718168,0.0832164965411823,0.109151626957512,0.0631638779884951
"multivariado",0.0819904051683573,0.0510401222320663,0.0859917527401914,0.083755261953405,0.0945175007782134,0.12108068947673,0.0762900665395402
"combinacao",0.0681131366800177,0.0363951986056436,0.067211092054318,0.0618528528449747,0.0707989517966986,0.0870804048931152,0.0529722043695278
