"MODELO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"arima",0.185185185185185,0.185185185185185,0.148148148148148,0.333333333333333,0.148148148148148,0.0740740740740741,0.259259259259259
"ets",0.037037037037037,0.148148148148148,0.148148148148148,0.0740740740740741,0.111111111111111,0.111111111111111,0.0740740740740741
"lstvar",0.185185185185185,0.111111111111111,0.111111111111111,0.111111111111111,0.0740740740740741,0.037037037037037,0.037037037037037
"naive",0.222222222222222,0.111111111111111,0.222222222222222,0.0740740740740741,0.222222222222222,0.37037037037037,0.259259259259259
"rw",0.0740740740740741,0.0740740740740741,0.0740740740740741,0.111111111111111,0.0740740740740741,0.037037037037037,0.148148148148148
"star",0.148148148148148,0.148148148148148,0.037037037037037,0.148148148148148,0.111111111111111,0.111111111111111,NA
"todos_media",0.111111111111111,0.111111111111111,0.185185185185185,0.0740740740740741,0.0740740740740741,0.111111111111111,0.037037037037037
"todos_mediana",NA,0.037037037037037,0.037037037037037,0.037037037037037,0.148148148148148,0.111111111111111,0.037037037037037
"var",0.037037037037037,0.0740740740740741,0.037037037037037,0.037037037037037,0.037037037037037,0.037037037037037,0.148148148148148
