"MODELO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"arima",0.185185185185185,0.185185185185185,0.185185185185185,0.148148148148148,0.148148148148148,0.0740740740740741,0.185185185185185
"ets",0.037037037037037,0.0740740740740741,0.185185185185185,0.185185185185185,0.0740740740740741,0.185185185185185,0.148148148148148
"lstvar",0.185185185185185,0.111111111111111,0.0740740740740741,0.037037037037037,0.148148148148148,0.111111111111111,0.148148148148148
"naive",0.222222222222222,0.111111111111111,0.222222222222222,0.259259259259259,0.222222222222222,0.259259259259259,0.222222222222222
"rw",0.0740740740740741,0.111111111111111,0.037037037037037,0.037037037037037,0.0740740740740741,0.037037037037037,NA
"star",0.148148148148148,0.148148148148148,0.111111111111111,0.0740740740740741,0.111111111111111,0.111111111111111,0.0740740740740741
"todos_media",0.111111111111111,0.148148148148148,0.0740740740740741,0.037037037037037,0.0740740740740741,0.0740740740740741,0.111111111111111
"todos_mediana",NA,0.037037037037037,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.037037037037037,0.037037037037037
"var",0.037037037037037,0.0740740740740741,0.037037037037037,0.148148148148148,0.0740740740740741,0.111111111111111,0.0740740740740741
