"MODELO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"naive",0.114032163188458,0.113746981795181,0.11935640897313,0.119875157078596,0.176691024357561,0.163219290772766,0.138577772595447
"rw",0.0815814902606756,0.0881175676938688,0.123436480062267,0.159439133336856,0.105727947346023,0.145046935744091,0.124353612836621
"ets",0.081290802331981,0.080293352552697,0.0937821285948297,0.104668518698016,0.104714532147958,0.120101237777901,0.10071195395428
"arima",0.0638034539117645,0.0769402024082797,0.0984189645527961,0.101317537066021,0.0941717315501355,0.123972645582559,0.0989642162319582
"star",0.0686442865304064,0.0774037820078891,0.101276202468106,0.117029549150078,0.108497696721859,0.138117853995698,0.108465016868726
"var",0.0788061146301623,0.075880334130887,0.0939879003840726,0.101487753311194,0.0899244898081844,0.11064340262038,0.0943847760509436
"lstvar",0.0851746957065523,0.0806350186841119,0.107971959237891,0.130586518986799,0.129930264708967,0.158931165197025,0.121610985362959
"todos_media",0.0678470563193372,0.0703072847127094,0.0857401085612028,0.101906786654952,0.0894342412885052,0.105365065129004,0.0905506972692747
"todos_mediana",0.0683792170406983,0.0696506391735549,0.0868986626863429,0.100160877912688,0.0909376817583276,0.112534211270739,0.0920364145603303
