"PART_ICMS_CAT","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"(0.207,0.342]",0.11380647237069,0.134316968008827,0.134306071447887,0.187198813838946,0.157654487551943,0.155305820392129,0.153756432247946
"(0.477,0.612]",0.0635139020139115,0.0725462255227204,0.104185247236608,0.104754269913201,0.118742001257735,0.163248217776085,0.11269519234127
"(0.612,0.746]",0.0998087238145258,0.0854822878761508,0.113749281790699,0.117355676162713,0.124986756038112,0.145822249855531,0.117479250344641
"(0.342,0.477]",0.0938678396317293,0.0716887179064479,0.0832721381477953,0.115692472559322,0.0911054790407086,0.128063237672044,0.0979644090652636
"(0.746,0.882]",0.0374016260343185,0.0501667647096286,0.0705840665944517,0.0687261324297005,0.062840379375038,0.0765828244892233,0.0657800335196084
