"ESTADO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"AC",0.00876183356184315,0.0675198775794974,0.138126299731163,0.197731631005096,0.0543811409103966,0.0876795289197351,0.110517552742157
"AL",0.0323422636786457,0.062998534790364,0.0593771661344358,0.0749403982149619,0.0649885346679422,0.0570212310147995,0.0663620699306033
"AM",0.0173115993719357,0.0294320345049294,0.0663183729539829,0.0780236353087386,0.0660450871004527,0.0949737841471323,0.096333284986969
"AP",0.101690643848987,0.221915223771086,0.094130143411505,0.149261664911953,0.197218836114993,0.139023539494022,0.171923971055914
"BA",0.0252934628427025,0.0286536362823863,0.116232412860006,0.0833487360212212,0.0881053956282326,0.071717670377917,0.0786609852772182
"CE",0.000581638041475199,0.0525775338523506,0.0417140952679717,0.080882398962943,0.0696145311141634,0.0667209445252976,0.0670901890424871
"DF",0.0897996047483862,0.0451243244479068,0.0301448404560135,0.0242261100690227,0.0465735320742187,0.0592587681967307,0.0449853635793033
"ES",0.00381531840243889,0.0479767615734398,0.0497590405748936,0.0881743739387088,0.0337523636069917,0.0592497489166546,0.0698840912223629
"GO",0.00629381268704219,0.033289165133076,0.0748070241229251,0.0594183948562973,0.0146600272031761,0.0381447589938036,0.0454066460959751
"MA",0.016520658724661,0.0283545954508845,0.0490772148841947,0.116503206285564,0.0733831473889335,0.090729450736677,0.0767600544297567
"MG",0.00319577848784658,0.0474601152150828,0.0551970878517602,0.0586026941685244,0.0725216659677569,0.0517400295006452,0.0629530401519251
"MS",0.00458761311011068,0.0201258710540909,0.0336868423582781,0.0636721590603993,0.0290856809100057,0.0351851285451073,0.0399621477484127
"MT",0.0429704635693757,0.0441037736814894,0.0751489805542736,0.0893849845755898,0.0504917573556388,0.0659335488922835,0.0670657239717048
"PA",0.0140589003326202,0.0240115896268947,0.056047063623981,0.0878898200241777,0.0579817022403904,0.0605185743304565,0.060981718609263
"PB",0.0554701025868745,0.0251424591370737,0.0250419428177838,0.0673081014509537,0.0584141494014818,0.062684640438248,0.0634886130712269
"PE",0.0552121596844714,0.0636830502535984,0.0215727444471961,0.0545347217821248,0.0358395699649158,0.0185310331949897,0.038832223928565
"PI",0.0655221263390875,0.0581037733526071,0.0813949015975608,0.133153262244956,0.0730936911028205,0.117714574157312,0.119368997976918
"PR",0.00640703043476766,0.0459101179097407,0.0518186800895843,0.0395894738397809,0.02526458276296,0.0796139143648226,0.0547610332877054
"RJ",0.00710578912252402,0.0824888688342945,0.124438134082131,0.0661291939878629,0.0662740038175481,0.0696095220412451,0.0873934312165081
"RN",0.0283993643480993,0.0509330248584384,0.0398339113747519,0.0442716135527107,0.0888162880070976,0.105021579763817,0.0684831727378406
"RO",0.0170232189391063,0.0905552961286292,0.127417898369976,0.0469463499990625,0.0482334852009065,0.0928138717825399,0.0985761926714179
"RR",0.00913277612604821,0.102586081116998,0.125398329732709,0.15284561570213,0.124935503955055,0.0865493962765463,0.13409154384515
"RS",0.00859862130142052,0.0124303807923121,0.0278819491686091,0.0495993453875147,0.0454359639024373,0.0275421299834106,0.0353577713761255
"SC",0.00515953047014886,0.0275205666385675,0.052191354838239,0.0360760424278466,0.0130175802934002,0.0250769140162704,0.035973445163649
"SE",0.0534239856816905,0.0565618943033523,0.0481538533888469,0.0875257056656265,0.032184259254774,0.0345380793214173,0.0588351887505657
"SP",0.0108972350489708,0.0449565363652755,0.0794969007423266,0.0191323324263503,0.0245529457627782,0.0651273210162884,0.0528523432791453
"TO",0.0178607070711828,0.0483185550179997,0.0542787154416338,0.119939795055962,0.0811177716718028,0.066063710500735,0.0814491586007263
