"ESTADO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"AC",0.0798912043730273,0.101991854542796,0.16955275481199,0.212830394570273,0.124006820110293,0.131283427229814,0.147933050253033
"AL",0.0610345794190481,0.0720539010386139,0.0881496701624831,0.120323020569682,0.116424713055701,0.129571322198489,0.105304525404994
"AM",0.114702154121941,0.0937919830403858,0.119895135965327,0.146610337236885,0.171068343613089,0.213818837410055,0.149036927453148
"AP",0.198061573839256,0.238712156006309,0.150137141022741,0.193237247108096,0.281690744404532,0.212966209279907,0.215348699564317
"BA",0.0787638677820226,0.062663925253308,0.143877915499539,0.130226450857586,0.161878681058088,0.123839819480444,0.124497358429793
"CE",0.164805837028755,0.109884123150266,0.0900241104684001,0.154086948958542,0.155802617843168,0.156178328409133,0.133195225765902
"DF",0.133149985614548,0.0618793506223097,0.0621918020273349,0.0849058150548164,0.0649369672117095,0.0863912792363074,0.0720610428304956
"ES",0.102365688269184,0.0798314577754503,0.0702918507541338,0.106010372337878,0.087442659256039,0.0788457016566823,0.0844844083560368
"GO",0.0501432945271674,0.0572032191067543,0.113651506710465,0.0937073247568387,0.073259144422735,0.122979572837786,0.0921601535669158
"MA",0.0483329419020881,0.0743758762967819,0.109304992247767,0.144282855996038,0.126929935967791,0.189956032956299,0.128969938692935
"MG",0.0357705840656509,0.0696354749930567,0.0656962427692786,0.0754241353173546,0.0970810601250918,0.078452731555846,0.0772579289521255
"MS",0.0297267653197998,0.0425825767448909,0.0475652963937899,0.0858619793472684,0.0641020097372755,0.0720833144881573,0.0624390353422764
"MT",0.0666635471778995,0.0716342734711356,0.123275466307362,0.100999620147801,0.0805603287090619,0.151400835081347,0.105574104743342
"PA",0.0337693436475173,0.0569440710491964,0.0967164561318162,0.12916719658994,0.123656467091645,0.15221876572894,0.111740591318307
"PB",0.0815615860279685,0.0459610084888418,0.046417874591564,0.0911808237123353,0.0863833632137941,0.147738096271929,0.0835362332556928
"PE",0.086856828819566,0.0807550576376119,0.0986079197003934,0.0915612020341897,0.122109123782669,0.175701384280269,0.113746937487027
"PI",0.135088805389819,0.097224478116544,0.133784460717365,0.182535009626721,0.0972904177184454,0.210085642319596,0.144184001699734
"PR",0.0223009863349744,0.0537610989511022,0.0579058888313805,0.0506176547143763,0.045511793362022,0.0860832555544847,0.0587759382826731
"RJ",0.0845031435023134,0.0998151948048983,0.150272573839739,0.0919948015661072,0.0960455380046674,0.120970842670787,0.11181979017724
"RN",0.0723899736958963,0.0745278188725673,0.10380406449228,0.0745213010464562,0.167313050556263,0.255830802873294,0.135199407568172
"RO",0.0688140272791273,0.113244328164382,0.185838170804896,0.108579007647593,0.0999324123712714,0.130882101807776,0.127695204159184
"RR",0.0718349847475954,0.145687980791767,0.137991304858483,0.195248765506995,0.156770146988425,0.111194562063649,0.149378552041864
"RS",0.0328116251263692,0.0223863128054543,0.0489305224780645,0.0665833027008118,0.0649489099695904,0.0494354072837548,0.0504568910475351
"SC",0.0430847331001755,0.0404986283306801,0.0700921084241847,0.0691178062100438,0.0346432063131246,0.0467910087981348,0.0522285516152336
"SE",0.100120591378552,0.0788109268002521,0.0783196201682837,0.117888746627112,0.081449533942625,0.107842400823527,0.0928622456723598
"SP",0.0479733937660922,0.065100042035462,0.0902469005539989,0.0397707239612098,0.0603365316954263,0.0802544809063994,0.0671417358304993
"TO",0.0841557935037546,0.0879683705867192,0.080064695828856,0.152142652382646,0.128514308538018,0.110999261067679,0.111937857680784
