"PART_ICMS_CAT","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"(0.207,0.342]",0.11380647237069,0.0906287292405732,0.0993476410314607,0.116832160823189,0.139862421434552,0.104177072314356,0.0956680199823106
"(0.477,0.612]",0.0635139020139115,0.0360099911504743,0.0693624782757947,0.061677998086388,0.097593868219605,0.155151140706931,0.0750051945098325
"(0.612,0.746]",0.0998087238145258,0.0516123928482292,0.102975101136666,0.0836000935546272,0.104001772326497,0.12787250615551,0.0772646833268007
"(0.342,0.477]",0.0938678396317293,0.0509207969080387,0.0681501145116414,0.0682674468280536,0.0635773622608938,0.118791248164294,0.0616560528280807
"(0.746,0.882]",0.0374016260343185,0.0326715060351453,0.0573973235954303,0.0403492716603896,0.0531048799521685,0.0656354445851175,0.0416242039487734
