"TIPO_MODELO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"benchmarking",0.097806826724567,0.100932274744525,0.121396444517699,0.139657145207726,0.141209485851792,0.154133113258428,0.131465692716034
"univariado",0.0712461809247173,0.0782124456562886,0.0978257652052439,0.107671868304705,0.102461320139984,0.127397245785386,0.102713729018321
"multivariado",0.0819904051683573,0.0782576764074994,0.100979929810982,0.116037136148996,0.109927377258576,0.134787283908703,0.107997880706951
"combinacao",0.0681131366800177,0.0699789619431321,0.0863193856237729,0.10103383228382,0.0901859615234164,0.108949638199872,0.0912935559148025
