"MODELO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"naive",0.114032163188458,0.090186999138601,0.0970246533355986,0.102935354990237,0.162808626024408,0.142637967573688,0.106820508182262
"rw",0.0815814902606756,0.0491700574711347,0.0945127565854635,0.077874585143274,0.0828290128702637,0.116108451075323,0.0686821299921093
"ets",0.081290802331981,0.0475494948471735,0.0731802469415006,0.0715973219640978,0.0890527015717039,0.101586910617239,0.0676710010008513
"arima",0.0638034539117645,0.0474483664635772,0.0706591384845706,0.0377614126991453,0.0699165736153319,0.109503883580943,0.0524413996163214
"star",0.0686442865304064,0.0494222020250855,0.0817534861291391,0.0736146594522074,0.090680214436511,0.116364086674354,0.0693792333483126
"var",0.0788061146301623,0.050891649156414,0.0767075967869576,0.0670528076683513,0.0691380044412638,0.0957103573507882,0.0589397785265825
"lstvar",0.0851746957065523,0.0511885953077185,0.0952759086934253,0.100457716238459,0.119896997115163,0.146451021602671,0.0936403545524978
"todos_media",0.0678470563193372,0.0369186925480174,0.0658548638561632,0.0649782949735347,0.071450712698436,0.0850271235121503,0.0518871328873669
"todos_mediana",0.0683792170406983,0.0358717046632699,0.0685673202524728,0.0587274107164148,0.0701471908949612,0.0891336862740801,0.0540572758516888
