"ESTADO","n=1","n=1:4","n=5:8","n=9:12","n=13:16","n=17:20","n=1:20"
"AC",0.0798912043730273,0.0513237247060146,0.184468991683861,0.159942853645687,0.120136880148692,0.109289878834005,0.125304950036276
"AL",0.0610345794190481,0.0236124132158693,0.0846830175589243,0.03815179002898,0.0874379316543542,0.129844053415135,0.0601239592936478
"AM",0.114702154121941,0.0823039521423325,0.0887205567691557,0.106428843817209,0.157180901690144,0.20864776995432,0.1035200371171
"AP",0.198061573839256,0.188944290547868,0.141384702865365,0.108555005790821,0.300791403475235,0.111280856328469,0.168849188857907
"BA",0.0787638677820226,0.0603758200843513,0.147064604917378,0.115735609673315,0.153769563745049,0.115947393694519,0.111094905442012
"CE",0.164805837028755,0.08453509097518,0.0716507635793495,0.0921206728278534,0.123065921236257,0.133043735967634,0.0981860640814607
"DF",0.133149985614548,0.0313120379718284,0.0503479121751667,0.0762653642896064,0.0426952709476428,0.0689791450544771,0.0460611521060199
"ES",0.102365688269184,0.0405204145682279,0.0243404630946063,0.0798382277413755,0.0412291659681446,0.0391755163680553,0.029358677654157
"GO",0.0501432945271674,0.0378318902876593,0.104865289034864,0.0670299799560602,0.0680494076240128,0.12228309143012,0.0777391199756894
"MA",0.0483329419020881,0.0701801614975748,0.0977535014627021,0.0396955246202766,0.0798626943564629,0.186264612897463,0.0869412527703067
"MG",0.0357705840656509,0.0534682815053158,0.0593955897073822,0.0256563104251386,0.0672732075154525,0.077176429528223,0.052024505136068
"MS",0.0297267653197998,0.038159775614506,0.0218099671310777,0.0608111297576455,0.053478001570394,0.066391696443792,0.0455931106615237
"MT",0.0666635471778995,0.0336981027828842,0.120539195178861,0.0665839688001949,0.0779611979512427,0.153162761399716,0.0617494974335376
"PA",0.0337693436475173,0.0488223597060478,0.0570733587500367,0.0659209852815372,0.0904508587005713,0.136166261787673,0.0746715903712899
"PB",0.0815615860279685,0.0373056576406598,0.035716051825684,0.0435621272954977,0.0496753607656977,0.150496572936268,0.0391664017080027
"PE",0.086856828819566,0.0355584984609188,0.0976544966101752,0.0592690087583485,0.109870281353539,0.176408495001669,0.0952036799620082
"PI",0.135088805389819,0.0738344131119443,0.0855302658068029,0.0525027338663791,0.0546665916551787,0.189535728586544,0.0557925181980303
"PR",0.0223009863349744,0.0243802547273159,0.0642031480512166,0.0307123630106722,0.0310054956809813,0.0847459086677973,0.0360921944055685
"RJ",0.0845031435023134,0.0242948709237098,0.170855627807135,0.0652243232640943,0.0649353743411037,0.0687218707026545,0.0417399215973292
"RN",0.0723899736958963,0.0198153152395086,0.104308329769059,0.0612150445529552,0.167205988158553,0.259866795003521,0.122533615505186
"RO",0.0688140272791273,0.0504942099502862,0.0650316334752691,0.0995400432729701,0.0931992018188491,0.0993820203920589,0.0785304056710368
"RR",0.0718349847475954,0.0524819968055537,0.0301906664350943,0.11885936672157,0.0997009765005573,0.0480519776415606,0.0403857326369434
"RS",0.0328116251263692,0.0112241390860095,0.0380649665810017,0.0110090658631595,0.0604221487920065,0.0369784742132817,0.027550903440685
"SC",0.0430847331001755,0.0174597225945322,0.0449410954765967,0.0627802117947571,0.0312533095200904,0.0372458812066865,0.0326683440845558
"SE",0.100120591378552,0.0512701912547129,0.0563489298970555,0.0888414515742776,0.0681741214785757,0.101129986540942,0.0519657536079155
"SP",0.0479733937660922,0.0461764784306781,0.0685012091858736,0.0244458408152941,0.060252588962242,0.0346266306059215,0.0197012499373232
"TO",0.0841557935037546,0.0865592210314857,0.0551635783661798,0.144300844091486,0.124016255393099,0.0627269201812032,0.0880077101823956
